A,B,n_pairs,mean_diff,sd_diff,t_paired,p_paired_t,p_permutation,p_permutation_floor,cohens_dz,family_size,p_paired_t_bonferroni,significant_bonferroni
nn_mlp,m4g,5,0.008147479444140692,0.004229798479042102,4.307136137253183,0.012574461417885553,0.0625,0.0625,1.9262098382487964,6,0.07544676850731331,False
nn_mlp,m4,5,0.008520371456071874,0.002783879086336993,6.843734651706523,0.002385385259919802,0.0625,0.0625,3.060611180237326,6,0.014312311559518813,True
nn_mlp,m4m,5,0.016524752891135485,0.016656397995933263,2.218395044654118,0.09077412436070005,0.1875,0.0625,0.9920964241590577,6,0.5446447461642003,False
m4g,m4,5,0.0003728920119311807,0.006060424151546671,0.13758309090164703,0.897217595841236,0.875,0.0625,0.061529028762123114,6,1.0,False
m4g,m4m,5,0.008377273446994793,0.020307869373855387,0.9224085771252968,0.4085174948233811,0.375,0.0625,0.41251365629620423,6,1.0,False
m4,m4m,5,0.008004381435063612,0.014313060615414814,1.250490128391092,0.27927849479640204,0.3125,0.0625,0.5592361864549843,6,1.0,False
