Variant,Desc,Accuracy,Precision,Recall,F1-score,MCC,PR-AUC(macro),PR-AUC(micro),fit_sec
rf,Random Forest (scale-invariant),0.9750564736654381,0.5196238339109778,0.6604079489207285,0.5409387116157035,0.8090379122170394,0.5490075758729447,0.9971164301715,18.0
hgb,HistGradientBoosting (tabular SOTA candidate),0.9703349780049935,0.500581986860457,0.6473978269517129,0.5149752268443099,0.7734032087525149,0.539849725791069,0.9966001939411865,27.9
m4,"DCFNet-DS (proposed): linear readout, no MLP, no gate",0.965408393770063,0.3972108960750696,0.6018265794142413,0.4013194029686532,0.7361363383813468,0.4369303440849304,0.9947062641554708,
logreg,"Logistic Regression (linear, 1st order only)",0.960071632386161,0.37125571806781565,0.5614706542744743,0.3571682643909933,0.6979489471683682,0.36551807093360034,0.9926629802610307,78.8
