Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,I_deg5,share_deg1,share_deg2,share_deg3,share_deg4,share_deg5,dominant,effective_degree
Analysis,580,0.7039166688919067,0.1949811428785324,1.9916318655014038,0.9249151945114136,1.0645190477371216,0.14424628019332886,0.03995544835925102,0.40812429785728455,0.18953320384025574,0.21814076602458954,deg3,3.297366715967655
Backdoor,1009,0.8190837502479553,1.1063017845153809,0.6515184044837952,0.7989822626113892,1.350701928138733,0.1732928305864334,0.23405928909778595,0.13784117996692657,0.16903996467590332,0.2857668101787567,deg5,3.159928858280182
Benign,627116,1.712984561920166,1.8543269634246826,4.915985107421875,4.354028701782227,1.3086838722229004,0.12109313160181046,0.13108481466770172,0.3475174605846405,0.3077920079231262,0.0925125852227211,deg3,3.119546100497246
DoS,2481,0.32026419043540955,0.5266281366348267,0.9395924806594849,0.836563229560852,1.4248143434524536,0.07911933213472366,0.1301002949476242,0.23212064802646637,0.20666790008544922,0.35199177265167236,deg5,3.62231232970953
Exploits,19794,0.5690577030181885,0.356200248003006,0.9808440208435059,1.115128517150879,0.8099631071090698,0.14853274822235107,0.09297370165586472,0.25601527094841003,0.2910655736923218,0.21141274273395538,deg4,3.3238519728183746
Fuzzers,12449,2.2472777366638184,0.5390534996986389,1.0177557468414307,2.230391502380371,1.770317792892456,0.2879354655742645,0.06906695663928986,0.13040132820606232,0.285771906375885,0.2268243432044983,deg1,3.0944827049970627
Generic,2631,0.3320831060409546,0.41196441650390625,1.1522294282913208,1.2008919715881348,1.6152907609939575,0.07046917080879211,0.087420254945755,0.24450701475143433,0.2548333704471588,0.34277021884918213,deg5,3.712015300989151
Reconnaissance,6143,0.3794938921928406,0.35896676778793335,0.4024650454521179,1.1743351221084595,1.2256602048873901,0.10717377811670303,0.10137666016817093,0.11366111040115356,0.33164677023887634,0.34614160656929016,deg5,3.7082055434584618
Shellcode,610,0.5588780641555786,0.6095402836799622,0.9670498371124268,1.6480872631072998,2.709376811981201,0.0860748365521431,0.09387750178575516,0.148938849568367,0.25382786989212036,0.417280912399292,deg5,3.822362430393696
Worms,67,1.8761485815048218,0.8506962656974792,2.182626485824585,1.3499387502670288,1.5681499242782593,0.23968496918678284,0.10867961496114731,0.2788386642932892,0.1724597066640854,0.2003369927406311,deg3,2.985083982348442
ALL,672880,1.6632698774337769,1.7579551935195923,4.644753932952881,4.154094219207764,1.3045711517333984,0.12298066914081573,0.1299816220998764,0.34342890977859497,0.3071499764919281,0.0964588075876236,deg3,3.124124586582184
