Attack,N,features,recall_base,recall_shuffled,drop_self,drop_other_mean,selectivity,ctrl_drop_mean,ctrl_drop_std,z_vs_control,p_empirical,causal
Benign,4709,"syn_flag_number, ack_count, Header_Length",0.7914631556593756,0.434062433637715,0.3574007220216606,0.17640555626600093,0.1809951657556597,0.2112196503149996,0.26404904343641006,0.5536133356296944,0.3,False
BruteForce,54,"HTTP, syn_flag_number, SSH",0.6851851851851852,0.5370370370370371,0.14814814814814814,0.08404668734669649,0.06410146080145165,0.12037037037037042,0.10731690525131922,0.2588387888443723,0.36666666666666664,False
DDoS,145470,"syn_count, flow_duration, syn_flag_number",0.8860039870763732,0.6983226782154396,0.1876813088609336,0.2230816285509654,-0.035400319690031795,0.07508970921839558,0.0704539331294199,1.598088206597545,0.1,False
DoS,34710,"ack_flag_number, Radius, urg_count",0.6784500144050706,0.6409968308844713,0.03745318352059923,0.1334135159871925,-0.09596033246659327,0.009857869970229508,0.058584713833677055,0.4710326592823047,0.3333333333333333,False
Mirai,11344,"fin_count, flow_duration, Number",0.9933004231311706,0.9910084626234132,0.0022919605077573735,0.19928831913706826,-0.1969963586293109,0.17753291020216266,0.2465906190363652,-0.7106553784536392,0.9,False
Recon,1497,"syn_flag_number, Rate, Protocol Type",0.5250501002004008,0.5784903139612558,-0.05344021376085506,0.20690338293482857,-0.26034359669568363,0.03079492317969269,0.070094321764745,-1.20173981029823,0.9333333333333333,False
Spoofing,2109,"ack_count, Srate, UDP",0.6339497392128971,0.559506875296349,0.07444286391654809,0.07005632604943854,0.004386537867109547,0.03353880195985458,0.15324267066616468,0.2669234474893875,0.26666666666666666,False
Web,106,"fin_count, ARP, Tot sum",0.4811320754716981,0.39622641509433965,0.08490566037735847,0.04970415932693976,0.035201501050418714,0.11729559748427673,0.12763615976864598,-0.25376771884729565,0.5333333333333333,False
