accuracy,loss,val_accuracy,val_loss,learning_rate
0.7574384808540344,0.8160533905029297,0.9066497683525085,0.12098310887813568,0.0010000000474974513
0.9352186322212219,0.5915895104408264,0.9674310684204102,0.04508029296994209,0.0010000000474974513
0.9651587605476379,0.5403854846954346,0.9797459244728088,0.027657045051455498,0.0010000000474974513
0.9733192920684814,0.5143114328384399,0.9813732504844666,0.02485578879714012,0.0010000000474974513
0.9754617810249329,0.500751793384552,0.9814242124557495,0.025179509073495865,0.0010000000474974513
0.9779425859451294,0.4871370494365692,0.9813764691352844,0.02531001903116703,0.0010000000474974513
0.9776710867881775,0.482870876789093,0.9813637137413025,0.025703253224492073,0.0010000000474974513
0.9809814691543579,0.4682309031486511,0.9826312065124512,0.023693978786468506,0.0010000000474974513
0.9808939099311829,0.4624890983104706,0.9820961952209473,0.025886479765176773,0.0010000000474974513
0.9777793884277344,0.4668042063713074,0.9823222756385803,0.02541831135749817,0.0010000000474974513
0.9823214411735535,0.45206812024116516,0.9819496870040894,0.026842746883630753,0.0010000000474974513
0.9822648763656616,0.4459790885448456,0.9821280241012573,0.027417100965976715,0.0010000000474974513
0.9820411801338196,0.4420904815196991,0.983806312084198,0.02438562735915184,0.0010000000474974513
0.9836175441741943,0.4201216697692871,0.9841151833534241,0.02392316609621048,0.0005000000237487257
0.9834368228912354,0.41603416204452515,0.98421710729599,0.02376282401382923,0.0005000000237487257
0.9837895035743713,0.4118759334087372,0.9842075705528259,0.02384057454764843,0.0005000000237487257
0.9839622974395752,0.4090913236141205,0.9843317866325378,0.023732703179121017,0.0005000000237487257
0.9840164184570312,0.40683820843696594,0.984223484992981,0.02378402277827263,0.0005000000237487257
0.9842903017997742,0.3943478763103485,0.9841980338096619,0.022815829142928123,0.0002500000118743628
0.9846692681312561,0.39176660776138306,0.984449565410614,0.023041164502501488,0.0002500000118743628
0.98465496301651,0.3899040222167969,0.984427273273468,0.02294859290122986,0.0002500000118743628
0.9847098588943481,0.38842490315437317,0.9845578670501709,0.02277017943561077,0.0002500000118743628
0.984739363193512,0.3870445787906647,0.9846757054328918,0.02258669026196003,0.0002500000118743628
0.9847632050514221,0.38574087619781494,0.9847776293754578,0.022499097511172295,0.0002500000118743628
0.984815776348114,0.3846181333065033,0.9848126173019409,0.022431064397096634,0.0002500000118743628
0.98484206199646,0.3834734559059143,0.9848540425300598,0.022347988560795784,0.0002500000118743628
0.9848810434341431,0.38245314359664917,0.9848922491073608,0.022304151207208633,0.0002500000118743628
0.984900951385498,0.38143008947372437,0.9849272966384888,0.022244412451982498,0.0002500000118743628
0.98494553565979,0.38049107789993286,0.9849814176559448,0.022208321839571,0.0002500000118743628
0.9849622845649719,0.3796042203903198,0.9850037097930908,0.022176261991262436,0.0002500000118743628
0.9849749803543091,0.3787130117416382,0.9850737452507019,0.022140948101878166,0.0002500000118743628
0.9850243330001831,0.37788084149360657,0.9851056337356567,0.022112075239419937,0.0002500000118743628
0.9850291609764099,0.37709975242614746,0.9851310849189758,0.0220875795930624,0.0002500000118743628
0.9850307106971741,0.37629127502441406,0.9851725101470947,0.022066500037908554,0.0002500000118743628
0.9850761294364929,0.37553688883781433,0.9852074980735779,0.022043734788894653,0.0002500000118743628
0.985080897808075,0.3748058080673218,0.9852839708328247,0.02202039398252964,0.0002500000118743628
0.9850864410400391,0.37408772110939026,0.9852935075759888,0.022003158926963806,0.0002500000118743628
0.9851071834564209,0.37338802218437195,0.9853030443191528,0.021985923871397972,0.0002500000118743628
0.985127866268158,0.3727094233036041,0.9853157997131348,0.0219665989279747,0.0002500000118743628
0.985298216342926,0.3655487298965454,0.9852330088615417,0.021942084655165672,0.0001250000059371814
0.9853523969650269,0.36453986167907715,0.9853189587593079,0.02165607362985611,0.0001250000059371814
0.985360324382782,0.3638923466205597,0.9852775931358337,0.021811995655298233,0.0001250000059371814
0.985371470451355,0.3633856475353241,0.9853126406669617,0.021672965958714485,0.0001250000059371814
0.9853754639625549,0.3628583550453186,0.9853476285934448,0.02167588099837303,0.0001250000059371814
0.985382616519928,0.3623908758163452,0.9853858351707458,0.021636124700307846,0.0001250000059371814
0.9854001402854919,0.3619461953639984,0.9854145050048828,0.021603533998131752,0.0001250000059371814
0.9854089021682739,0.35798367857933044,0.9853858351707458,0.02133513055741787,6.25000029685907e-05
