Variant,Accuracy_mean,Precision_mean,Recall_mean,F1-score_mean,MCC_mean,PR-AUC(macro)_mean,PR-AUC(micro)_mean,Accuracy_std,Precision_std,Recall_std,F1-score_std,MCC_std,PR-AUC(macro)_std,PR-AUC(micro)_std,n_seeds
nn_mlp,0.7972,0.6052,0.7237,0.59,0.6269,0.6757,0.911,0.0202,0.0041,0.007,0.0038,0.0179,0.0033,0.0076,5
m4g,0.7785,0.5907,0.6951,0.5836,0.606,0.6675,0.9052,0.0186,0.0089,0.0103,0.0096,0.0225,0.0069,0.0117,5
m4,0.7945,0.5929,0.7064,0.589,0.6235,0.6672,0.913,0.0305,0.0055,0.0053,0.0074,0.025,0.001,0.0119,5
m4m,0.8089,0.592,0.6835,0.5849,0.6254,0.6592,0.9198,0.0261,0.0106,0.0265,0.0118,0.0331,0.0135,0.0092,5
