Attack,N,features,recall_base,recall_shuffled,drop_self,drop_other_mean,selectivity,ctrl_drop_mean,ctrl_drop_std,z_vs_control,p_empirical,causal
Analysis,172,"NUM_PKTS_1024_TO_1514_BYTES, DST_TO_SRC_IAT_AVG, CLIENT_TCP_FLAGS",0.9883720930232558,0.38372093023255816,0.6046511627906976,0.12645799247155576,0.4781931703191419,0.28565891472868216,0.23139599807733574,1.3785555960885887,0.06666666666666667,False
Backdoor,300,"NUM_PKTS_256_TO_512_BYTES, NUM_PKTS_128_TO_256_BYTES, RETRANSMITTED_OUT_BYTES",0.12333333333333334,0.13666666666666666,-0.013333333333333322,0.310290021061751,-0.32362335439508433,0.03733333333333333,0.03888634912341538,-1.3029422357409675,0.9666666666666667,False
Benign,186398,"MIN_TTL, IN_BYTES, DST_TO_SRC_AVG_THROUGHPUT",0.9997693108295154,0.8681638215002306,0.13160548932928473,0.3971392742666331,-0.26553378493734836,0.07849172201418474,0.05193836710859138,1.022630673083178,0.16666666666666666,False
DoS,737,"SRC_TO_DST_SECOND_BYTES, NUM_PKTS_128_TO_256_BYTES, SRC_TO_DST_IAT_STDDEV",0.23066485753052918,0.5915875169606513,-0.3609226594301221,0.38079127046424455,-0.7417139298943667,-0.02772501130710085,0.0723154084132759,-4.607560897932393,1.0,False
Exploits,5883,"L7_PROTO, RETRANSMITTED_OUT_PKTS, SRC_TO_DST_IAT_AVG",0.44025157232704404,0.425973142954275,0.01427842937276902,0.2450215468901838,-0.23074311751741478,0.04513570173947534,0.07706372779095338,-0.40041240219278235,0.5333333333333333,False
Fuzzers,3700,"SRC_TO_DST_SECOND_BYTES, RETRANSMITTED_OUT_PKTS, NUM_PKTS_128_TO_256_BYTES",0.6243243243243243,0.049189189189189186,0.575135135135135,0.2564298196310628,0.3187053155040722,0.18084684684684676,0.16130825828837736,2.4443155761027624,0.0,True
Generic,782,"DNS_QUERY_ID, L7_PROTO, MIN_IP_PKT_LEN",0.4398976982097187,0.3657289002557545,0.0741687979539642,0.1936668675851275,-0.1194980696311633,0.06700767263427113,0.06850576706036854,0.10453317475275553,0.5,False
Reconnaissance,1826,"MAX_TTL, DST_TO_SRC_IAT_MAX, NUM_PKTS_512_TO_1024_BYTES",0.5350492880613362,0.7458926615553122,-0.21084337349397597,0.19140365595255462,-0.40224702944653057,0.1875867104782767,0.20907365441780149,-1.9056924464335019,1.0,False
Shellcode,181,"RETRANSMITTED_OUT_PKTS, NUM_PKTS_128_TO_256_BYTES, TCP_FLAGS",0.712707182320442,0.5303867403314917,0.18232044198895025,0.2010777318496632,-0.018757289860712956,0.24162062615101287,0.19436174773472306,-0.3051021348243852,0.5666666666666667,False
Worms,20,"NUM_PKTS_512_TO_1024_BYTES, NUM_PKTS_128_TO_256_BYTES, SRC_TO_DST_IAT_AVG",0.9,0.5,0.4,0.12548723630158454,0.2745127636984155,0.22833333333333336,0.2068346091822052,0.8299707062827271,0.23333333333333334,False
