Variant,Desc,Accuracy,Precision,Recall,F1-score,MCC,PR-AUC(macro),PR-AUC(micro)
m4,"DCFNet-DS (proposed): linear readout, no MLP, no gate",0.8483413396175111,0.6022154006873399,0.6980035822223729,0.6008292930841741,0.6661422726136834,0.667803956405792,0.9335210127148849
m4g,M4 + degree gate (ablation),0.7724128750113296,0.5845364481257406,0.6975937447405588,0.5813464245659878,0.5837869206519698,0.6725138633135687,0.8949977485469396
m4m,M4 + MLP branch (ablation),0.8242091906099882,0.5863148131422238,0.6797730888990464,0.5783907595594531,0.6237837614624927,0.6533253139561832,0.9282224868005381
nn_mlp,MLP baseline (no cross network),0.8038753059004804,0.6042171046337155,0.7312368593075358,0.5915537512933691,0.6308242483989371,0.6757843544969302,0.9150010246985041
