Variant,Desc,Accuracy,Precision,Recall,F1-score,MCC,PR-AUC(macro),PR-AUC(micro),fit_sec
logreg,"Logistic Regression (linear, 1st order only)",0.6891711229946524,0.4965080858699925,0.6579890720915826,0.5036903640454412,0.5180833284540961,0.5732174080100532,0.8447057482992053,283.6
rf,Random Forest (scale-invariant),0.9938649959213269,0.8713586192052634,0.7925555741270814,0.8157443099146355,0.9859813071231426,0.8552055558808505,0.9998044205766389,15.9
hgb,HistGradientBoosting (tabular SOTA candidate),0.9947770325387474,0.7954306796973001,0.8505902890925828,0.8122316446398676,0.9880514450377258,0.8804761871225132,0.9999036037470878,10.4
