Variant,Attack,N,Recall,Precision,PR-AUC
rf,Benign,8313,0.9443041020089017,0.9112013929193268,0.9781465246718295
rf,BruteForce,96,0.40625,0.9512195121951219,0.5959790211506775
rf,DDoS,256795,0.9987305048774314,0.9999025318331033,0.99999824418105
rf,DoS,61273,0.9983516393843944,0.9988733038323999,0.9999799557069801
rf,Mirai,20025,0.9975031210986267,0.9988998349752463,0.9999820867670742
rf,Recon,2643,0.8301172909572455,0.7516272696128812,0.9054228254695719
rf,Spoofing,3723,0.8407198495836691,0.8632101489244346,0.9414525505973312
rf,Web,188,0.324468085106383,0.4959349593495935,0.4206832385022896
