Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,share_deg1,share_deg2,share_deg3,share_deg4,dominant,effective_degree
Benign,8313,0.8308395147323608,0.3430478274822235,0.7438998222351074,2.3098862171173096,0.19652405381202698,0.08114340901374817,0.17595961689949036,0.5463728904724121,deg4,3.072181284427643
BruteForce,96,0.38325753808021545,0.5458402037620544,0.4692589342594147,1.2365671396255493,0.14545297622680664,0.2071559578180313,0.17809201776981354,0.46929898858070374,deg4,2.971236899495125
DDoS,256795,4.26028299331665,3.3935704231262207,1.2019619941711426,0.8643885850906372,0.4382914900779724,0.3491254150867462,0.12365604192018509,0.0889270007610321,deg1,1.8632184490561485
DoS,61273,3.6686902046203613,1.8946771621704102,2.627678632736206,1.5177189111709595,0.3778740465641022,0.1951511949300766,0.27065014839172363,0.1563246101140976,deg1,2.2054253220558167
Mirai,20025,0.24624846875667572,1.3305031061172485,0.8341800570487976,8.41800308227539,0.02273986116051674,0.12286555767059326,0.07703251391649246,0.777362048625946,deg4,3.609016712754965
Recon,2643,0.29816797375679016,0.9433432817459106,0.7966333627700806,0.7142361998558044,0.10833092778921127,0.34273719787597656,0.2894342839717865,0.25949758291244507,deg2,2.700098507106304
Spoofing,3723,1.9028048515319824,1.2346599102020264,1.435502529144287,4.508390426635742,0.20952866971492767,0.13595542311668396,0.1580713540315628,0.4964445233345032,deg4,2.9414316713809967
Web,188,0.9995177984237671,0.722822904586792,0.6431995630264282,1.2299025058746338,0.2779957354068756,0.20103862881660461,0.17889299988746643,0.34207260608673096,deg4,2.585042417049408
ALL,353056,3.7918801307678223,2.901289701461792,1.4166816473007202,1.4778414964675903,0.3954945504665375,0.30260562896728516,0.14776043593883514,0.154139444231987,deg1,2.060544893145561
