Variant,Desc,Accuracy,Precision,Recall,F1-score,MCC,PR-AUC(macro),PR-AUC(micro)
m4,"DCFNet-DS (proposed): linear readout, no MLP, no gate",0.965408393770063,0.39721089607506965,0.6018265794142413,0.40131940296865326,0.7361363383813468,0.4369303440849304,0.9947062641554707
m4g,M4 + degree gate (ablation),0.9650101058138152,0.39664088315564083,0.6009802339309882,0.3977895179170314,0.733131240293444,0.43854951091063493,0.9940975545759085
m4m,M4 + MLP branch (ablation),0.9666745927951492,0.4194924070600794,0.6284296088687237,0.42211581894589284,0.7458130217124332,0.49778569595781896,0.9957640299445467
nn_mlp,MLP baseline (no cross network),0.9670030317441446,0.42373397905687343,0.6288626557753039,0.42377008480782496,0.7484497157593843,0.5013967047919701,0.9958203049029455
