Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,I_mlp,share_deg1,share_deg2,share_deg3,share_deg4,share_mlp,dominant,effective_degree
Benign,8313,0.5546184778213501,1.0950244665145874,0.6667084097862244,0.6584193706512451,0.44686609506607056,0.16209156811237335,0.32002943754196167,0.19485072791576385,0.19242818653583527,0.13060009479522705,deg2,2.4803490936756134
BruteForce,96,0.809149980545044,0.5277348756790161,0.46953853964805603,0.15390169620513916,0.7066664099693298,0.30339428782463074,0.1978764832019806,0.17605550587177277,0.05770610645413399,0.2649676203727722,deg1,1.9837740510702133
DDoS,256795,0.5630971193313599,0.3335839509963989,1.7905497550964355,1.6642779111862183,6.854752540588379,0.050248440355062485,0.02976764179766178,0.15978120267391205,0.14851322770118713,0.611689567565918,mlp,3.046995148062706
DoS,61273,0.8685453534126282,0.3534926176071167,2.0768017768859863,0.6882814168930054,7.093023777008057,0.0783875435590744,0.03190324828028679,0.18743453919887543,0.062118448317050934,0.6401562094688416,mlp,2.648292228579521
Mirai,20025,0.8739712834358215,1.4930356740951538,1.417088270187378,0.6355043649673462,8.915762901306152,0.06553786993026733,0.11196063458919525,0.10626544803380966,0.04765557497739792,0.6685804724693298,mlp,2.4104729145765305
Recon,2643,0.9282609820365906,0.7475488781929016,0.30451369285583496,0.4694756865501404,0.9990825653076172,0.2691483795642853,0.2167510837316513,0.08829345554113388,0.13612402975559235,0.2896830439567566,mlp,2.128665216267109
Spoofing,3723,2.22003436088562,1.6702827215194702,0.4434966444969177,1.1274765729904175,0.8961067795753479,0.3492049276828766,0.26273059844970703,0.06976072490215302,0.1773487776517868,0.14095498621463776,deg1,2.0876011326909065
Web,188,1.2463226318359375,0.682171106338501,0.6331648826599121,0.39465320110321045,1.1310200691223145,0.30492329597473145,0.16689887642860413,0.15490910410881042,0.09655521810054779,0.2767135500907898,deg1,2.059584006667137
ALL,353056,0.6541774868965149,0.4381638169288635,1.7662798166275024,1.3971669673919678,6.750734329223633,0.059435438364744186,0.039809469133615494,0.1604757457971573,0.12693990767002106,0.6133394837379456,mlp,2.917911559343338
