Attack,N,I_deg1,I_deg2,I_deg3,share_deg1,share_deg2,share_deg3,dominant,effective_degree
Benign,8313,0.5045749545097351,0.562866747379303,2.580573081970215,0.13831494748592377,0.1542939841747284,0.707391083240509,deg3,2.5690761655569077
BruteForce,96,0.3582594692707062,0.6333847045898438,1.4375683069229126,0.14747966825962067,0.2607366442680359,0.5917836427688599,deg3,2.444303885102272
DDoS,256795,4.369070053100586,2.1588141918182373,1.575541377067566,0.5391632914543152,0.2664075791835785,0.19442903995513916,deg1,1.6552655696868896
DoS,61273,1.7548528909683228,1.359923243522644,1.3701305389404297,0.3912796974182129,0.3032222092151642,0.3054981231689453,deg1,1.9142184853553772
Mirai,20025,0.4863305687904358,1.819157361984253,7.142116069793701,0.051476601511240005,0.19255223870277405,0.7559711337089539,deg3,2.7044944800436497
Recon,2643,0.4843849837779999,1.1723616123199463,0.9649776816368103,0.18475817143917084,0.4471719563007355,0.3680698573589325,deg2,2.1833116561174393
Spoofing,3723,1.8857626914978027,1.7667224407196045,2.174755096435547,0.32361164689064026,0.3031834065914154,0.3732050061225891,deg3,2.0495934784412384
Web,188,0.8198044300079346,0.9452718496322632,0.884267270565033,0.3094368278980255,0.3567947447299957,0.33376845717430115,deg2,2.0243316888809204
ALL,353056,3.5459060668945312,1.9507429599761963,1.880629539489746,0.4806523323059082,0.2644258439540863,0.2549218535423279,deg1,1.7742695808410645
