Attack,N,features,recall_base,recall_shuffled,drop_self,drop_other_mean,selectivity,ctrl_drop_mean,ctrl_drop_std,z_vs_control,p_empirical,causal
Benign,4709,"syn_flag_number, ack_count, Header_Length, IAT, Tot sum, Duration",0.7914631556593756,0.182841367593969,0.6086217880654067,0.29695614585639396,0.3116656422090127,0.42844199051461734,0.24767665858841914,0.727479927166678,0.26666666666666666,False
BruteForce,54,"HTTP, syn_flag_number, SSH, Covariance, Duration, Header_Length",0.6851851851851852,0.4444444444444444,0.2407407407407408,0.26038071182021644,-0.019639971079475627,0.2012345679012346,0.12987044063961614,0.3041968029440497,0.36666666666666664,False
DDoS,145470,"syn_count, flow_duration, syn_flag_number, IAT, Number, urg_count",0.8860039870763732,0.6951605141953667,0.19084347288100645,0.3357076521312976,-0.14486417925029116,0.13115304415572515,0.05544870236264776,1.0764982079272412,0.13333333333333333,False
DoS,34710,"ack_flag_number, Radius, urg_count, fin_count, TCP, HTTPS",0.6784500144050706,0.6672428694900605,0.01120714491501007,0.22914228051814844,-0.21793513560313837,0.06290982425813886,0.07378996588292445,-0.7006735770166981,0.7,False
Mirai,11344,"fin_count, flow_duration, Number, Protocol Type, Magnitue, Variance",0.9933004231311706,0.32475317348377997,0.6685472496473907,0.24051146908921536,0.42803578055817526,0.2811030794546309,0.25561317087654833,1.5157441569389274,0.1,False
Recon,1497,"syn_flag_number, Rate, Protocol Type, Weight, ack_count, Tot size",0.5250501002004008,0.48229792919171677,0.042752171008684,0.23190123035894925,-0.18914905935026524,0.025027833444667087,0.09316354186852076,0.19024971795330414,0.4666666666666667,False
Spoofing,2109,"ack_count, Srate, UDP, Weight, Header_Length, fin_count",0.6339497392128971,0.07444286391654813,0.559506875296349,0.12998965372951315,0.42951722156683586,0.09977872609451555,0.2568244619454717,1.790048135287992,0.06666666666666667,False
Web,106,"fin_count, ARP, Tot sum, AVG, Covariance, Min",0.4811320754716981,0.22641509433962265,0.25471698113207547,0.16746300143008533,0.08725397970199014,0.18459119496855345,0.13298615355182522,0.5273164482962035,0.36666666666666664,False
