accuracy,loss,val_accuracy,val_loss,learning_rate
0.6541357636451721,0.5578545928001404,0.6212285757064819,0.14292772114276886,0.0010000000474974513
0.6965385675430298,0.3471146523952484,0.7231046557426453,0.0840911716222763,0.0010000000474974513
0.7049417495727539,0.31951484084129333,0.8380846977233887,0.06615521758794785,0.0010000000474974513
0.7091130018234253,0.306428998708725,0.7976316809654236,0.08037392795085907,0.0010000000474974513
0.7166452407836914,0.2980078458786011,0.785256028175354,0.07405877858400345,0.0010000000474974513
0.7182050943374634,0.2884434759616852,0.7022560238838196,0.0630873516201973,0.0010000000474974513
0.7213839888572693,0.2804217040538788,0.4685813784599304,0.49106740951538086,0.0010000000474974513
0.7212383151054382,0.27519482374191284,0.7994161248207092,0.055356305092573166,0.0010000000474974513
0.7218573689460754,0.2759314179420471,0.7323848605155945,0.06534340232610703,0.0010000000474974513
0.7222124338150024,0.2645931541919708,0.7423691749572754,0.06262294203042984,0.0010000000474974513
0.7270649671554565,0.2603682577610016,0.7558737397193909,0.05567691847681999,0.0010000000474974513
0.7277159094810486,0.2551112174987793,0.7480805516242981,0.05820988118648529,0.0010000000474974513
0.729972243309021,0.24719762802124023,0.7231168150901794,0.1038932353258133,0.0010000000474974513
0.7353437542915344,0.2367522418498993,0.8474498987197876,0.05621301010251045,0.0005000000237487257
0.7364210486412048,0.22615882754325867,0.8521476984024048,0.05090228468179703,0.0005000000237487257
0.7370052337646484,0.22762076556682587,0.7986513376235962,0.05278530344367027,0.0005000000237487257
0.739983856678009,0.2275034636259079,0.8462967276573181,0.053928229957818985,0.0005000000237487257
0.7415770888328552,0.2194303721189499,0.7826886773109436,0.05396761745214462,0.0005000000237487257
0.7424601912498474,0.2195298820734024,0.8010548949241638,0.051910705864429474,0.0005000000237487257
0.7448455095291138,0.22007779777050018,0.7976559996604919,0.052835818380117416,0.0005000000237487257
0.74494868516922,0.21148918569087982,0.7965331077575684,0.05090945586562157,0.0002500000118743628
0.7490334510803223,0.2050604522228241,0.8044355511665344,0.04965558648109436,0.0002500000118743628
0.7503839135169983,0.20657005906105042,0.8223526477813721,0.048915084451436996,0.0002500000118743628
0.7522714734077454,0.2048058658838272,0.7969154715538025,0.05009550601243973,0.0002500000118743628
0.7523245811462402,0.2041049301624298,0.8047511577606201,0.050458092242479324,0.0002500000118743628
0.7525355219841003,0.1997891366481781,0.8316935896873474,0.04915600270032883,0.0002500000118743628
0.7543684840202332,0.20365993678569794,0.8061168193817139,0.05019832029938698,0.0002500000118743628
0.7545657753944397,0.19624494016170502,0.8350378274917603,0.05162578821182251,0.0002500000118743628
0.7556688785552979,0.19084371626377106,0.7845823168754578,0.049284469336271286,0.0001250000059371814
0.757811427116394,0.1902434378862381,0.7874106764793396,0.049324534833431244,0.0001250000059371814
0.7569677233695984,0.19133500754833221,0.7879447937011719,0.05020572990179062,0.0001250000059371814
0.757756769657135,0.18783271312713623,0.7845155596733093,0.05022527649998665,0.0001250000059371814
0.7597870230674744,0.187866672873497,0.7783186435699463,0.04964320361614227,0.0001250000059371814
0.7599858045578003,0.18381361663341522,0.803373396396637,0.04705958068370819,6.25000029685907e-05
0.7606064081192017,0.18964433670043945,0.802293062210083,0.04751448333263397,6.25000029685907e-05
0.7606655955314636,0.18345089256763458,0.7943298816680908,0.047667182981967926,6.25000029685907e-05
0.760931134223938,0.18671081960201263,0.8044962882995605,0.047123055905103683,6.25000029685907e-05
0.7615987658500671,0.1797877550125122,0.8051153421401978,0.047328006476163864,6.25000029685907e-05
0.7627747058868408,0.17925742268562317,0.7889401912689209,0.04740731418132782,6.25000029685907e-05
0.763276994228363,0.18255436420440674,0.809109091758728,0.04652325063943863,3.125000148429535e-05
0.7627292275428772,0.18008503317832947,0.7918838858604431,0.04718891158699989,3.125000148429535e-05
0.7627899050712585,0.18112105131149292,0.804514467716217,0.04671299457550049,3.125000148429535e-05
0.7623301148414612,0.18295520544052124,0.8045508861541748,0.04695317894220352,3.125000148429535e-05
0.7624151110649109,0.18225426971912384,0.7987484931945801,0.04709408059716225,3.125000148429535e-05
0.7620964646339417,0.1775435358285904,0.8050000071525574,0.04655687138438225,3.125000148429535e-05
0.7629022002220154,0.18086084723472595,0.8004357814788818,0.04683313146233559,1.5625000742147677e-05
0.762721598148346,0.17587487399578094,0.8039500117301941,0.046343956142663956,1.5625000742147677e-05
0.7628855109214783,0.1771424412727356,0.8030456900596619,0.04623372107744217,1.5625000742147677e-05
0.7632678747177124,0.17936588823795319,0.804702639579773,0.046458471566438675,1.5625000742147677e-05
0.7639385461807251,0.17694532871246338,0.8032095432281494,0.046422041952610016,1.5625000742147677e-05
0.7635334134101868,0.17901986837387085,0.8021109700202942,0.046706948429346085,1.5625000742147677e-05
0.7633482813835144,0.17796142399311066,0.8017650246620178,0.046558719128370285,1.5625000742147677e-05
0.7643831372261047,0.175934836268425,0.8016254305839539,0.04645993933081627,1.5625000742147677e-05
0.7643482089042664,0.17609338462352753,0.7940871119499207,0.04685668647289276,7.812500371073838e-06
0.7637564539909363,0.17332632839679718,0.7964117527008057,0.0467342846095562,7.812500371073838e-06
0.7637245655059814,0.17577965557575226,0.796842634677887,0.04681864380836487,7.812500371073838e-06
0.7638080716133118,0.181465744972229,0.7972857356071472,0.04679121822118759,7.812500371073838e-06
0.7629097700119019,0.18012405931949615,0.796187162399292,0.046863406896591187,7.812500371073838e-06
0.7637442946434021,0.1749052256345749,0.7929339408874512,0.047029100358486176,3.906250185536919e-06
0.7634772658348083,0.17633509635925293,0.7921023964881897,0.04697608947753906,3.906250185536919e-06
0.7636790871620178,0.1743623912334442,0.7908096313476562,0.04701152816414833,3.906250185536919e-06
0.7632890939712524,0.17937807738780975,0.7900751829147339,0.0469977967441082,3.906250185536919e-06
0.7633301019668579,0.178955078125,0.7893772125244141,0.047149378806352615,3.906250185536919e-06
0.7633118629455566,0.17943839728832245,0.787295401096344,0.04721635580062866,1.9531250927684596e-06
0.7630417943000793,0.17509759962558746,0.7859115600585938,0.047285594046115875,1.9531250927684596e-06
0.7630797028541565,0.17493359744548798,0.7867855429649353,0.04724659025669098,1.9531250927684596e-06
0.7633832097053528,0.17565801739692688,0.7859236598014832,0.04726292937994003,1.9531250927684596e-06
0.7641297578811646,0.17868195474147797,0.7859722375869751,0.04729880765080452,1.9531250927684596e-06
